"ts","eventId","Transform"
2024-10-17T21:56:58.587Z,0,"{""position"":{""x"":0.05292241,""y"":1.40108478,""z"":-0.0366108641},""rotation"":{""x"":0.09796637,""y"":0.278134137,""z"":-0.0369981341,""w"":0.9548169},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-10-17T21:56:58.600Z,0,"{""position"":{""x"":0.05564328,""y"":1.40069294,""z"":-0.0377126634},""rotation"":{""x"":0.09986961,""y"":0.2914627,""z"":-0.0369655825,""w"":0.9506362},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-10-17T21:56:58.613Z,0,"{""position"":{""x"":0.0581689067,""y"":1.40036523,""z"":-0.0390623659},""rotation"":{""x"":0.104200065,""y"":0.303868055,""z"":-0.0386929065,""w"":0.946207941},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-10-17T21:56:58.627Z,0,"{""position"":{""x"":0.06056992,""y"":1.4000721,""z"":-0.0402844548},""rotation"":{""x"":0.109436639,""y"":0.314187169,""z"":-0.04188385,""w"":0.942101836},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-10-17T21:56:58.643Z,0,"{""position"":{""x"":0.06301998,""y"":1.39943242,""z"":-0.04126132},""rotation"":{""x"":0.112420917,""y"":0.323918,""z"":-0.04477413,""w"":0.938314438},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-10-17T21:56:58.655Z,0,"{""position"":{""x"":0.0656703562,""y"":1.39872658,""z"":-0.04240133},""rotation"":{""x"":0.115380481,""y"":0.332217067,""z"":-0.04638751,""w"":0.934969246},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-10-17T21:56:58.667Z,0,"{""position"":{""x"":0.06808729,""y"":1.39799917,""z"":-0.04348043},""rotation"":{""x"":0.11811167,""y"":0.340637475,""z"":-0.0470513031,""w"":0.931558847},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-10-17T21:56:58.682Z,0,"{""position"":{""x"":0.07041575,""y"":1.39719331,""z"":-0.04453784},""rotation"":{""x"":0.120862685,""y"":0.34917888,""z"":-0.0475299954,""w"":0.92801255},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-10-17T21:56:58.695Z,0,"{""position"":{""x"":0.07257008,""y"":1.39636254,""z"":-0.0457859822},""rotation"":{""x"":0.124270275,""y"":0.3557486,""z"":-0.04883874,""w"":0.924994349},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-10-17T21:56:58.710Z,0,"{""position"":{""x"":0.07478797,""y"":1.39551866,""z"":-0.047040496},""rotation"":{""x"":0.128404468,""y"":0.36232993,""z"":-0.050265424,""w"":0.9217932},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-10-17T21:56:58.724Z,0,"{""position"":{""x"":0.0772268847,""y"":1.39469731,""z"":-0.0483946539},""rotation"":{""x"":0.132574484,""y"":0.368977636,""z"":-0.05044212,""w"":0.918550551},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-10-17T21:56:58.738Z,0,"{""position"":{""x"":0.079806976,""y"":1.39384425,""z"":-0.049811095},""rotation"":{""x"":0.136276737,""y"":0.377145976,""z"":-0.050303977,""w"":0.9146907},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-10-17T21:56:58.752Z,0,"{""position"":{""x"":0.0822194144,""y"":1.39289045,""z"":-0.0511818528},""rotation"":{""x"":0.13956061,""y"":0.3853676,""z"":-0.0521454848,""w"":0.9106567},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-10-17T21:56:58.770Z,0,"{""position"":{""x"":0.0845962539,""y"":1.39202845,""z"":-0.052555386},""rotation"":{""x"":0.143060565,""y"":0.393149585,""z"":-0.0559787,""w"":0.906550348},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-10-17T21:56:58.780Z,0,"{""position"":{""x"":0.08692788,""y"":1.39097929,""z"":-0.05389598},""rotation"":{""x"":0.145835876,""y"":0.400453925,""z"":-0.0599721558,""w"":0.9026472},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-10-17T21:56:58.794Z,0,"{""position"":{""x"":0.08926836,""y"":1.38992393,""z"":-0.0553453937},""rotation"":{""x"":0.149275213,""y"":0.4075424,""z"":-0.0630454347,""w"":0.8986943},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-10-17T21:56:58.807Z,0,"{""position"":{""x"":0.09152654,""y"":1.38902414,""z"":-0.056857},""rotation"":{""x"":0.154496774,""y"":0.414584875,""z"":-0.06561663,""w"":0.894396245},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-10-17T21:56:58.826Z,0,"{""position"":{""x"":0.09376891,""y"":1.38809955,""z"":-0.05829267},""rotation"":{""x"":0.158904657,""y"":0.4219249,""z"":-0.068307355,""w"":0.8899791},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-10-17T21:56:58.837Z,0,"{""position"":{""x"":0.09619872,""y"":1.38703334,""z"":-0.0596261062},""rotation"":{""x"":0.161457241,""y"":0.430039257,""z"":-0.07149252,""w"":0.885373652},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-10-17T21:56:58.848Z,0,"{""position"":{""x"":0.09865221,""y"":1.38591707,""z"":-0.0611684322},""rotation"":{""x"":0.163858637,""y"":0.438242316,""z"":-0.07470589,""w"":0.8806322},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-10-17T21:56:58.865Z,0,"{""position"":{""x"":0.101015978,""y"":1.38489532,""z"":-0.0627213642},""rotation"":{""x"":0.166333035,""y"":0.446817666,""z"":-0.07815269,""w"":0.875545263},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
